instruction,output
"Hi, I recently sold an item and I want to calculate my profit percentage. The cost price was $50 and I sold it for $75.


 Sure, let me calculate that for you. <|endoftext|>","name: calculate_profit
arguments:
  cost_price: 50
  selling_price: 75"
"Hi, I need to know the distance between New York and Los Angeles.","name: calculate_distance
arguments:
  start_location: New York
  end_location: Los Angeles"
I am looking for some books on artificial intelligence. Can you help me find some?,"name: search_books
arguments:
  keywords[1]: artificial intelligence"
"Hi, I need to convert 500 US dollars to Euros. Can you help me with that?","name: convert_currency
arguments:
  amount: 500
  from_currency: USD
  to_currency: EUR"
"Hey, I need to calculate the tip for my bill. The total amount is $100 and I want to leave a 15% tip.


 Sure, I can help with that. Let me calculate it for you. <|endoftext|>","name: calculate_tip
arguments:
  bill_amount: 100
  tip_percentage: 15"
"Hi, I would like to calculate my BMI. I weigh 70 kilograms and my height is 1.75 meters.","name: calculate_bmi
arguments:
  weight: 70
  height: 1.75"
"Hi, I need to know the distance between New York and Los Angeles.","name: calculate_distance
arguments:
  origin: New York
  destination: Los Angeles"
"Hi, I need to calculate my BMI. I am 1.75 meters tall and weigh 70 kilograms.","name: calculate_bmi
arguments:
  height: 1.75
  weight: 70"
I would like it to be 12 characters long.,"name: generate_password
arguments:
  length: 12"
I would like it to be 12 characters long and include both numbers and symbols.,"name: generate_password
arguments:
  length: 12
  include_numbers: true
  include_symbols: true"
I need to calculate the area of a rectangle. The length is 5 units and the width is 3 units.,"name: calculate_area
arguments:
  shape: rectangle
  measurements:
    length: 5
    width: 3"
"Hi, I need to know the distance between New York and Los Angeles.


 Sure, I can help with that. Let me calculate the distance for you. <|endoftext|>","name: calculate_distance
arguments:
  start_location: New York
  end_location: Los Angeles"
"Hi, I need a random number between 1 and 100.


 Sure, let me generate that for you. <|endoftext|>","name: generate_random_number
arguments:
  min: 1
  max: 100"
"Can you find information about the movie ""Inception""?","name: search_movie
arguments:
  title: Inception"
I would like it to be 12 characters long.,"name: generate_password
arguments:
  length: 12"
"Hi, I need to convert 500 USD to Euros. Can you help me with that?","name: convert_currency
arguments:
  amount: 500
  from_currency: USD
  to_currency: EUR"
I'm in New York and I'm craving Italian food. Can you find me a restaurant?,"name: find_restaurants
arguments:
  location: New York
  cuisine: Italian"
"Hi, I would like to know the current stock price of Apple in the NASDAQ stock exchange.","name: get_stock_price
arguments:
  company_name: Apple
  stock_exchange: NASDAQ"
Can you tell me more about the movie with ID 12345?,"name: get_movie_details
arguments:
  movie_id: ""12345"""
"I have some chicken, broccoli, and cheese. Can you find a recipe for me?","name: search_recipes
arguments:
  ingredients[3]: chicken,broccoli,cheese"
"Can you analyze the sentiment of this text for me? ""I am feeling really happy today because I got a promotion at work.""","name: analyze_sentiment
arguments:
  text: I am feeling really happy today because I got a promotion at work."
"Hi, can you get me the latest news headlines for the United States?","name: get_news_headlines
arguments:
  country: United States"
I would like it to be 12 characters long.,"name: generate_password
arguments:
  length: 12"
"I have some tomatoes, onions, and garlic. Can you find me a recipe?","name: search_recipes
arguments:
  ingredients[3]: tomatoes,onions,garlic"
"Yes, it's www.mywebsite.com.","name: generate_qr_code
arguments:
  text: www.mywebsite.com"
"Hi, I need help with splitting a bill. The total amount is $150 and we are 5 people. Can you calculate how much each person should tip if we want to leave a 20% tip?","name: calculate_tip_split
arguments:
  bill_amount: 150
  number_of_people: 5"
"Hi, I need to know the distance between New York and Los Angeles.","name: calculate_distance
arguments:
  origin: New York
  destination: Los Angeles"
"Hi, I need to know the distance between New York and Los Angeles.","name: calculate_distance
arguments:
  source: New York
  destination: Los Angeles"
I am looking for books by J.K. Rowling.,"name: search_books
arguments:
  query: J.K. Rowling"
"Can you tell me about the movie ""Inception""?","name: get_movie_details
arguments:
  title: Inception"
"Sure, the total loan amount is $300,000, the annual interest rate is 3.5%, and the loan term is 30 years.","name: calculate_mortgage
arguments:
  loan_amount: 300000
  interest_rate: 3.5
  loan_term: 30"
"Hi, can you tell me how old I am? My birthdate is 1990-05-15.","name: calculate_age
arguments:
  birthdate: 1990-05-15"
"Hi, I need to convert 500 USD to EUR. Can you help me with that?","name: convert_currency
arguments:
  amount: 500
  from_currency: USD
  to_currency: EUR"
"Sure, the loan amount is $200,000, the annual interest rate is 5%, and the loan term is 30 years.","name: calculate_mortgage
arguments:
  loan_amount: 200000
  interest_rate: 5
  loan_term: 30"
"Yes, the stock symbol for Apple is AAPL.","name: get_stock_price
arguments:
  company: Apple
  symbol: AAPL"
"Hi, I need to calculate my BMI. My weight is 75 kg and my height is 1.8 meters.","name: calculate_bmi
arguments:
  weight: 75
  height: 1.8"
"Hi, I want to calculate my BMI. I weigh 70 kg and my height is 1.75 meters.","name: calculate BMI
arguments:
  weight: 70
  height: 1.75"
"Hi, I need to convert 50 kilograms into pounds. Can you help me with that?


 Of course, I can help you with that. Let me do the conversion for you. <|endoftext|>","name: convert_weight
arguments:
  weight: 50
  from_unit: kilogram
  to_unit: pound"
What's the current time in New York?,"name: get_current_time
arguments:
  time_zone: New York"
"Can you tell me how many words are in this text? ""The quick brown fox jumps over the lazy dog.""","name: check_word_count
arguments:
  text: The quick brown fox jumps over the lazy dog."
"I want it to be 12 characters long. It should include lowercase letters, uppercase letters, and numbers, but no symbols.","name: generate_random_password
arguments:
  length: 12
  include_lowercase: true
  include_uppercase: true
  include_numbers: true
  include_symbols: false"
"Hi, I need to know the distance between New York and Los Angeles. Can you help me with that?


 Sure, I can help with that. Let me calculate the distance for you. <|endoftext|>","name: calculate_distance
arguments:
  point1:
    latitude: 40.7128
    longitude: -74.006
  point2:
    latitude: 34.0522
    longitude: -118.2437"
I need a random number between 1 and 100.,"name: generate_random_number
arguments:
  min: 1
  max: 100"
"I have some chicken, tomatoes and cheese. Can you find me a recipe?","name: search_recipes
arguments:
  ingredients[3]: chicken,tomatoes,cheese
  limit: 5"
I need to convert 100 degrees Fahrenheit to Celsius. Can you help me with that?,"name: convert_temperature
arguments:
  value: 100
  from_unit: Fahrenheit
  to_unit: Celsius"
I saw a dress that I liked. It was originally priced at $200 but it's on a 20% discount. How much will I save?,"name: calculate_discount
arguments:
  original_price: 200
  discount_percentage: 20"
"Can you find the lyrics for the song ""Bohemian Rhapsody""?","name: search_lyrics
arguments:
  song_title: Bohemian Rhapsody"
"Sure, my website URL is www.mywebsite.com.","name: generate_qr_code
arguments:
  text: www.mywebsite.com"
"Hi, I need to convert 1000 USD to Euros. Can you help me with that?","name: convert_currency
arguments:
  amount: 1000
  from_currency: USD
  to_currency: EUR"
I would like it to be 12 characters long.,"name: generate_password
arguments:
  length: 12"
"Hi, I need to convert 500 USD to Euros. Can you help me with that?","name: convert_currency
arguments:
  amount: 500
  from_currency: USD
  to_currency: EUR"
"Hi, I need to know the distance between New York and Los Angeles. Can you help me with that?


 Of course, I can help with that. Let me calculate the distance for you. <|endoftext|>","name: calculate_distance
arguments:
  origin: New York
  destination: Los Angeles"
"Hey, I have some chicken, bell peppers and tomatoes. Can you find me a recipe using these ingredients?


 Sure, I can help with that. Let me find a recipe for you. <|endoftext|>","name: search_recipe
arguments:
  ingredients[3]: chicken,bell peppers,tomatoes"
"Hi, can you tell me the distance between New York and Los Angeles?","name: calculate_distance
arguments:
  origin: New York
  destination: Los Angeles"
"Hey, I need to add an event to my calendar. It's a meeting with my team on 15th March from 10 AM to 12 PM. The title should be ""Team Meeting"".","name: update_calendar
arguments:
  event_title: Team Meeting
  start_time: ""15th March, 10 AM""
  end_time: ""15th March, 12 PM"""
"Hi, I need help calculating the tip for my bill. The total bill amount is $100 and I want to leave a 15% tip.","name: calculate_tip
arguments:
  bill_amount: 100
  tip_percentage: 15"
"Hi, I saw a dress that I really liked. It's originally priced at $200 but there's a 20% discount on it. Can you tell me how much it would cost after the discount?","name: calculate_discount
arguments:
  original_price: 200
  discount_percentage: 20"
"Yes, it's www.mywebsite.com.","name: generate_qrcode
arguments:
  data: www.mywebsite.com"
"Hi, I need to know the distance between New York and Los Angeles.


 Sure, let me calculate that for you. <|endoftext|>","name: calculate_distance
arguments:
  origin: New York
  destination: Los Angeles"
I need a random number between 1 and 100.,"name: generate_random_number
arguments:
  min: 1
  max: 100"
What's the current stock price of AAPL?,"name: get_stock_price
arguments:
  symbol: AAPL"
"The title is ""Prepare Presentation"", the description is ""Prepare a presentation on AI for the upcoming conference"", and the due date is ""2022-05-15"".","name: create_task
arguments:
  title: Prepare Presentation
  description: Prepare a presentation on AI for the upcoming conference
  due_date: 2022-05-15"
I need a random number between 1 and 100.,"name: generate_random_number
arguments:
  min_value: 1
  max_value: 100"
"Hi, I need a secure password of length 10.


 Sure, I can help with that. Let me generate it for you. <|endoftext|>","name: generate_password
arguments:
  length: 10"
"Hi, I just bought a new laptop for $1500. Can you help me calculate how much sales tax I would have to pay if the tax rate is 7%?","name: calculate_sales_tax
arguments:
  purchase_amount: 1500
  tax_rate: 7"
I would like it to be 12 characters long.,"name: generate_password
arguments:
  length: 12"
"Hi, I need to calculate the tax I owe this year. My income was $75,000 and the tax rate is 20%.


 Sure, I can help you with that. Let's calculate your tax. <|endoftext|>","name: calculate_tax
arguments:
  income: 75000
  tax_rate: 20"
"Hi, I need to know the distance between New York and Los Angeles.","name: calculate_distance
arguments:
  origin: New York
  destination: Los Angeles"
"The text is ""Hello World"" and I want to use the AES encryption algorithm.","name: encrypt_text
arguments:
  text: Hello World
  algorithm: AES"
"Hi, I need help with calculating my tax. My annual income is $70,000 and the tax rate is 20%.","name: calculate_tax
arguments:
  income: 70000
  tax_rate: 20"
I have a circle with a radius of 5. Can you calculate the area for me?,"name: calculate_area
arguments:
  shape: circle
  dimensions:
    radius: 5"
"Hi, I was born on 1990-05-15. Can you tell me how old I am today?","name: calculate_age
arguments:
  birthdate: 1990-05-15"
"Hi, I am looking for a book but I can't remember the full title. I know it's something like ""To Kill a..."" and it's written by Harper Lee. Can you help me find it?


 Of course, I can help you with that. Let me search for the book. <|endoftext|>","name: search_book
arguments:
  title: To Kill a...
  author: Harper Lee"
"Hi, I was born on 1990-05-15. Can you tell me how old I am today?","name: calculate_age
arguments:
  birthdate: 1990-05-15"
I need a random number between 1 and 100.,"name: generate_random_number
arguments:
  min: 1
  max: 100"
"Can you find a movie called ""Inception""?","name: search_movies
arguments:
  title: Inception"
I saw a jacket I liked for $200 but it's 15% off. How much would it cost after the discount?,"name: calculate_discount
arguments:
  original_price: 200
  discount_percentage: 15"
"Can you tell me about the movie ""Inception"" released in 2010?","name: get_movie_details
arguments:
  title: Inception
  year: 2010"
"Hi, I need to convert 1000 USD to Euros. Can you help me with that?","name: convert_currency
arguments:
  amount: 1000
  from_currency: USD
  to_currency: EUR"
I saw a dress that I liked in a store. It was priced at $100 and they are offering a 20% discount. Can you tell me how much I will have to pay after the discount?,"name: calculate_discount
arguments:
  original_price: 100
  discount_percentage: 20"
"Hi, I need to know the distance between New York and Los Angeles.","name: calculate_distance
arguments:
  origin: New York
  destination: Los Angeles"
"Sure, the loan amount is $50000, the annual interest rate is 5% and the loan term is 10 years.","name: calculate_loan_payment
arguments:
  loan_amount: 50000
  interest_rate: 5
  loan_term: 10"
"Hi, can you get me the latest news headlines for the United States?","name: get_news_headlines
arguments:
  country: United States"
"Hi, I was born on 1990-05-15. Can you tell me how old I am today?","name: calculate_age
arguments:
  birthdate: 1990-05-15"
I would like it to be 12 characters long and include both numbers and symbols.,"name: generate_password
arguments:
  length: 12
  include_numbers: true
  include_symbols: true"
"Hi, I need to convert 500 US dollars to Euros. Can you help me with that?","name: convert_currency
arguments:
  amount: 500
  from_currency: USD
  to_currency: EUR"
"Hi, I would like to calculate my BMI. I weigh 70 kilograms and my height is 1.75 meters.","name: calculate_bmi
arguments:
  weight: 70
  height: 1.75"
"Hey, I want to know the lyrics of the song 'Shape of You' by Ed Sheeran.","name: get_lyrics
arguments:
  artist: Ed Sheeran
  title: Shape of You"
I would like it to be 12 characters long.,"name: generate_password
arguments:
  length: 12"
"I am looking for a movie to watch tonight. Can you suggest something based on the keyword ""adventure""?","name: search_movies
arguments:
  query: adventure"
"Can you tell me about the movie ""Inception"" released in 2010?","name: get_movie_details
arguments:
  title: Inception
  year: 2010"
I need to calculate the area of a circle with a radius of 5 units. Can you help me with that?,"name: calculate_area
arguments:
  shape: circle
  dimensions:
    radius: 5"
"I am looking for a file named ""project"".","name: search_files
arguments:
  name: project"
"Hi, I need to ship a package to New York. It weighs about 5 kilograms. Can you tell me how much it will cost?","name: calculate_shipping_cost
arguments:
  weight: 5
  destination: New York"
The task is to buy groceries and its priority is high.,"name: create_todo
arguments:
  task: buy groceries
  priority: high"
"Hi, I need help with calculating a tip. My bill amount is $85 and I want to leave a 15% tip.","name: calculate_tip
arguments:
  bill_amount: 85
  tip_percentage: 15"
"Sure, my website URL is www.mywebsite.com.","name: generate_qr_code
arguments:
  text: www.mywebsite.com"
"Hey, can you get me the recent posts from the Instagram account of @john_doe?


 Sure, I can do that. Let me fetch the information for you. <|endoftext|>","name: get_social_media_posts
arguments:
  platform: Instagram
  username: john_doe"
"The content should be ""Discuss Q1 sales performance, Plan for Q2, Review marketing strategies"".","name: create_note
arguments:
  title: Team Meeting Agenda
  content: ""Discuss Q1 sales performance, Plan for Q2, Review marketing strategies"""
I saw a dress that I liked. It was originally priced at $100 but it's on a 20% discount. Can you tell me how much it will cost after the discount?,"name: calculate_discount
arguments:
  original_price: 100
  discount_percentage: 20"
I saw a dress that I liked in a store. It was originally priced at $200 but there's a 20% discount on it. Can you tell me how much it would cost after the discount?,"name: calculate_discounted_price
arguments:
  original_price: 200
  discount_percentage: 20"
"Sure, the loan amount is $200,000, the interest rate is 3.5%, and the loan term is 30 years.","name: calculate_loan_payment
arguments:
  loan_amount: 200000
  interest_rate: 3.5
  loan_term: 30"
I'm feeling a bit down today. Can you play some uplifting music for me?,"name: play_music
arguments:
  genre: pop
  mood: uplifting"
"Hi, I need help with calculating a tip. My bill amount is $50 and I want to leave a 15% tip.","name: calculate_tip
arguments:
  bill_amount: 50
  tip_percentage: 15"
"Yes, it's www.mywebsite.com.","name: generate_qr_code
arguments:
  input: www.mywebsite.com"
"Hi, I was born on 1990-05-15. Can you tell me how old I am?","name: calculate_age
arguments:
  birthdate: 1990-05-15"
I need to remember to discuss the new project timeline and budget adjustments.,"name: make_note
arguments:
  title: Team Meeting
  content: Discuss new project timeline and budget adjustments."
"Hi, I need help with calculating the tip for my dinner bill. The total amount is $50 and I want to leave a 20% tip.


 Sure, I can help with that. Let me calculate it for you. <|endoftext|>","name: calculate_tip
arguments:
  bill_amount: 50
  tip_percent: 20"
I need a random number between 1 and 100.,"name: generate_random_number
arguments:
  min: 1
  max: 100"
"Hi, I would like to know the latest technology news in the United States.


 Sure, let me fetch the information for you. <|endoftext|>","name: get_news
arguments:
  category: technology
  country: United States"
I would like it to be 12 characters long.,"name: generate_random_password
arguments:
  length: 12"
I would like it to be 12 characters long.,"name: generate_password
arguments:
  length: 12"
I need to calculate the area of a rectangle. The length is 5 units and the width is 3 units.,"name: calculate_area
arguments:
  shape: rectangle
  dimensions:
    length: 5
    width: 3"
"Hi, I have a sentence in French that I need translated to English. The sentence is ""Je suis très heureux de vous rencontrer"".","name: translate_text
arguments:
  text: Je suis très heureux de vous rencontrer
  source_language: French
  target_language: English"
"Hi, I need some motivation. Can you generate a random quote for me from the category of 'Success'?


 Sure, let me generate a quote for you. <|endoftext|>","name: generate_random_quote
arguments:
  category: Success"
"Hi, can you tell me the current stock price of Apple?","name: get_stock_price
arguments:
  symbol: AAPL"
"Hi, I was born on 1990-05-15. Can you tell me how old I am today?","name: calculate_age
arguments:
  date_of_birth: 1990-05-15"
I need a random number between 1 and 100.,"name: generate_random_number
arguments:
  min: 1
  max: 100"
"Sure, the website URL is www.example.com.","name: analyze_website
arguments:
  url: www.example.com"
"Hey, I am looking for a book but I can't remember the full title. I think it was something like 'The Great...' and it was a classic novel.


 Sure, I can help with that. Let's use the book search function to find it. <|endoftext|>","name: search_books
arguments:
  title: The Great"
"Sure, it's www.mywebsite.com.","name: generate_qr_code
arguments:
  data: www.mywebsite.com"
What does the word 'serendipity' mean?,"name: search_definition
arguments:
  word: serendipity"
"Sure, the loan amount is $50000, the interest rate is 5.5%, and the term is 60 months.","name: calculate_loan_payment
arguments:
  loan_amount: 50000
  interest_rate: 5.5
  loan_term: 60"
"Hi, I need to translate a sentence to French. The sentence is ""Hello, how are you?""","name: translate_text
arguments:
  text_to_translate: ""Hello, how are you?""
  target_language: French"
"Hi, I need a barcode for my product. The product id is ""123XYZ"".


 Sure, I can help with that. Let me generate the barcode for you. <|endoftext|>","name: generate_barcode
arguments:
  product_id: 123XYZ"
"Sure, it's www.mywebsite.com.","name: analyze_website
arguments:
  website_url: www.mywebsite.com"
The email address is john.doe@example.com.,"name: check_email
arguments:
  email: john.doe@example.com"
"The movie is called ""Inception"".","name: search_movie
arguments:
  title: Inception"
"Hi, I was born on 1990-05-15. Can you tell me how old I am today?","name: calculate_age
arguments:
  date_of_birth: 1990-05-15
  current_date: 2022-03-01"
Can you tell me the current stock price of Apple?,"name: get_stock_price
arguments:
  ticker: AAPL"
"Hi, I want to calculate my BMI. My height is 1.75 meters and my weight is 70 kilograms.","name: calculate_bmi
arguments:
  height: 1.75
  weight: 70"
"Hi, can you get me the latest news headlines in technology?","name: get_news_headlines
arguments:
  category: technology"
"Hi, can you generate a random number between 1 and 100 for me?


 Of course, let me do that for you. <|endoftext|>","name: generate_random_number
arguments:
  min: 1
  max: 100"
"Hi, I need to calculate the factorial of 5. Can you help me with that?","name: calculate_factorial
arguments:
  number: 5"
I love action movies and I would prefer if the movie has a rating of at least 7.,"name: get_movie_recommendations
arguments:
  genre: action
  rating: 7"
"Hi, I need help with calculating a tip. My bill amount is $50 and I want to give a 15% tip. Can you help me calculate that?","name: calculate_tip
arguments:
  bill_amount: 50
  tip_percentage: 15"
"Hi, can you help me calculate my age? I was born on 1990-05-15.


 Sure, I can help with that. Let me calculate it for you. <|endoftext|>","name: calculate_age
arguments:
  birthdate: 1990-05-15"
I'm looking for a recipe that uses chicken and broccoli.,"name: search_recipe
arguments:
  query: chicken and broccoli"
Can you get me the latest sports news from the United States?,"name: get_news
arguments:
  category: sports
  country: United States"
"Hi, I need the definition of the word ""serendipity"".","name: get_definition
arguments:
  word: serendipity"
"Sure, the principal amount is $50000, the annual interest rate is 5% and the loan term is 60 months.","name: calculate_loan_payment
arguments:
  principal: 50000
  interest_rate: 5
  term: 60"
I would like it to be 12 characters long.,"name: generate_random_password
arguments:
  length: 12"
"Hi, I just went on a road trip and I want to calculate the fuel efficiency of my car. I traveled 500 kilometers and consumed 40 liters of fuel.","name: calculate_fuel_efficiency
arguments:
  distance: 500
  fuel_consumed: 40"
I saw a jacket I liked in a store. It was originally priced at $200 but there's a 20% discount on it. Can you tell me how much it will cost after the discount?,"name: calculate_discount
arguments:
  original_price: 200
  discount_percentage: 20"
"Hi, I need to know the distance between New York and Los Angeles.","name: calculate_distance
arguments:
  source: New York
  destination: Los Angeles"
"Hi, I need to calculate my BMI. I weigh 75 kg and my height is 1.8 meters.","name: calculate_bmi
arguments:
  weight: 75
  height: 1.8"
"Yes, it's www.mywebsite.com.","name: generate_qr_code
arguments:
  data: www.mywebsite.com"
"Hi, I need to convert 500 US dollars to Euros. Can you help me with that?","name: convert_currency
arguments:
  amount: 500
  from_currency: USD
  to_currency: EUR"
I would like it to be 12 characters long.,"name: generate_password
arguments:
  length: 12"
I saw a dress that I liked. It was originally priced at $200 but it's on a 20% discount. Can you tell me how much it will cost after the discount?,"name: calculate_discount
arguments:
  original_price: 200
  discount_percentage: 20"
"Sure, I want the username to be ""JohnDoe"", password to be ""password123"", and email to be ""johndoe@example.com"".","name: create_user
arguments:
  username: JohnDoe
  password: password123
  email: johndoe@example.com"
"The numbers are 5, 10, 15, 20, 25.","name: calculate_average
arguments:
  numbers[5]: 5,10,15,20,25"
"Yes, it had the word ""Farm"" in it.","name: search_books
arguments:
  title: Farm
  author: George Orwell"
"Hi, I need to convert 1000 USD to EUR. Can you help me with that?","name: convert_currency
arguments:
  amount: 1000
  from_currency: USD
  to_currency: EUR"
"Hi, I need help with calculating the tip for my dinner bill. The total is $85 and I want to leave a 15% tip.


 Sure, I can help with that. Let me calculate the tip for you. <|endoftext|>","name: calculate_tip
arguments:
  bill_total: 85
  tip_percentage: 15"
"Hey, can you get me the lyrics of the song 'Shape of You' by Ed Sheeran?


 Sure, let me fetch that for you. <|endoftext|>","name: get_song_lyrics
arguments:
  artist: Ed Sheeran
  song: Shape of You"
"Hi, I saw a dress that I liked. It was originally priced at $100 but it's on a 20% discount. Can you tell me how much it will cost now?","name: calculate_discount
arguments:
  original_price: 100
  discount_percentage: 20"
"Hi, I need to calculate my monthly loan payment. I have a loan of $50000 at an interest rate of 5% for a term of 60 months. Can you help me with that?


 Of course, I can help you with that. Let me calculate it for you. <|endoftext|>","name: calculate_loan_payment
arguments:
  loan_amount: 50000
  interest_rate: 5
  loan_term: 60"
"Hi, I need help with calculating a tip. My bill amount is $50 and I want to leave a 15% tip.","name: calculate_tip
arguments:
  bill_amount: 50
  tip_percentage: 15"
"I have chicken, tomatoes, and basil.","name: search_recipes
arguments:
  ingredients[3]: chicken,tomatoes,basil"
"I would like it to be 12 characters long and yes, include both numbers and symbols.","name: generate_password
arguments:
  length: 12
  include_numbers: true
  include_symbols: true"
I have a temperature of 100 degrees Fahrenheit. Can you convert it to Celsius for me?,"name: convert_temperature
arguments:
  value: 100
  from_unit: Fahrenheit
  to_unit: Celsius"
"Hi, I need to convert 500 USD to Euros. Can you help me with that?","name: convert_currency
arguments:
  amount: 500
  from_currency: USD
  to_currency: EUR"
Can you find me some action movies?,"name: search_movies
arguments:
  genre: action"
I am looking for a book but I can't remember the title. The author's name is George Orwell.,"name: search_books
arguments:
  author: George Orwell"
